time,JS_NH3,CS_NH3,JS_TN,CS_TN,JS_LL,CS_LL,MCCS_NH4,MCCS_NO3,JS_COD,CS_COD,JS_SW,CS_SW,B_HYC_NH4,B_HYC_XD,B_HYC_MLSS,B_HYC_JS_DO,B_HYC_DO,B_CS_MQ_SSLL,B_QY_ORP,N_HYC_NH4,N_HYC_XD,N_HYC_MLSS,N_HYC_JS_DO,N_HYC_DO,N_CS_MQ_SSLL,N_QY_ORP
2022/7/18 2:40,27.1314,0.0169,33.0682,9.2619,1418.9423,1714.6394,0.1425,9.158,149.0,9.2,27.4158,31.1471,0.2117,7.2605,6091.2476,0.1126,1.3685,4392.6904,132.8125,1.5445,12.5348,5995.458,0.208,1.1596,3012.6638,121.0938
2022/7/18 2:42,27.1314,0.0169,33.0682,9.2619,1396.9487,-1936.3779,0.1425,9.1721,149.0,9.2,27.3844,31.1482,0.2097,8.2164,6085.3589,0.1503,1.2417,4394.0645,132.8125,1.5621,12.6369,5980.5396,0.1589,1.3869,3015.7061,120.8767
2022/7/18 2:44,27.1314,0.0169,33.0682,9.2619,620.5256,830.3297,0.1425,9.197,149.0,9.2,27.3487,31.1494,0.2077,7.2212,6100.2769,0.0777,1.2279,4393.2793,132.8125,1.5523,12.737,5986.0347,0.1503,1.3304,3015.019,120.6597
2022/7/18 2:46,27.1314,0.0169,33.0682,9.2619,1330.6614,1313.9777,0.1425,9.0907,149.0,9.2,27.3216,31.1502,0.2077,7.8395,6085.3589,0.1448,1.4109,4396.3213,132.8125,1.5366,12.843,5973.8652,0.1742,1.3312,3013.1543,120.5151
2022/7/18 2:48,27.1314,0.0169,33.0682,9.1671,1386.0891,1252.3951,0.1425,9.0234,149.0,9.2,27.2979,31.1516,0.2077,8.2105,6048.8486,0.133,1.2676,4396.2236,132.7401,1.5327,12.9765,5973.8652,0.1499,1.1537,3015.6079,120.4427
2022/7/18 2:50,27.1314,0.0169,33.0682,9.1504,1378.6124,827.3256,0.1425,9.0126,149.0,9.2,27.2765,31.153,0.2077,8.556,6072.4033,0.1472,1.2307,4395.6348,132.8125,1.5406,13.0845,5963.2661,0.1468,1.0976,3014.9209,120.4427
2022/7/18 2:52,27.1314,0.0169,33.0682,9.1504,1418.1901,744.3394,0.1405,9.0582,149.0,9.2,27.2635,31.1538,0.1999,7.5549,6054.3447,0.104,1.1734,4397.499,132.8125,1.5641,13.1806,6013.5161,0.1507,1.1361,3013.7432,120.3704
2022/7/18 2:54,27.1314,0.0169,33.0682,9.1504,1389.618,1289.5699,0.1405,9.0875,149.0,9.2,27.2615,31.1554,0.2136,7.2252,6082.6113,0.1161,1.1482,4397.499,132.8125,1.5288,13.2886,5891.8154,0.1515,1.1902,3012.1729,120.3704
2022/7/18 2:56,27.1314,0.0169,33.0682,9.1504,1077.3348,769.4981,0.1405,9.0907,149.0,9.2,27.2616,31.1559,0.2136,7.5314,6124.6177,0.1051,1.18,4395.3398,132.8125,1.5543,13.3848,5915.7632,0.1401,1.1553,3013.1543,120.3704
2022/7/18 2:58,27.1314,0.0169,33.0682,9.1504,1040.52,701.1566,0.1405,9.0549,149.0,9.2,27.257,31.1578,0.1999,7.7296,6123.4395,0.104,1.1526,4397.1064,132.8125,1.6662,12.8764,5877.2896,0.164,1.0772,3008.9341,120.1534
2022/7/18 3:00,27.1314,0.0169,33.0682,9.1504,998.9103,760.8616,0.1405,9.0234,149.0,9.2,27.2588,31.1594,0.2077,7.2546,6078.293,0.1067,1.0375,4394.9473,132.8125,1.6976,13.0432,5976.2212,0.1424,1.2774,3017.4727,120.081
2022/7/18 3:02,27.1314,1.2704,33.0682,9.1504,995.4418,1927.9253,0.1405,9.0516,149.0,9.2,27.2618,31.1598,0.2097,9.1037,6075.1514,0.1475,1.0171,4393.6719,132.8125,1.6937,13.1119,5961.6953,0.1358,1.1259,3008.6394,120.081
2022/7/18 3:04,27.1314,,33.0682,9.1504,996.0593,1307.5941,0.1405,9.1363,149.0,9.2,27.2597,31.161,0.2136,7.3626,6106.9512,0.1369,0.9037,4392.3955,132.8125,1.6858,13.1806,5909.874,0.1507,1.1007,3010.7986,120.081
2022/7/18 3:06,24.3023,,33.0682,9.1504,961.1859,1350.777,0.1405,9.2155,149.0,9.2,27.2575,31.1618,0.2038,7.286,6083.0034,0.1063,1.1074,4391.9053,132.8125,1.6564,13.32,6026.8643,0.168,1.2319,3009.1304,120.0087
2022/7/18 3:08,14.6832,,33.0682,9.1504,987.0591,1813.0214,0.1405,9.1699,149.0,9.2,27.2485,31.1622,0.2038,7.6982,6107.3442,0.1036,1.1137,4389.4512,132.8125,1.6328,13.2866,6051.9893,0.1464,1.2319,3012.271,119.7193
2022/7/18 3:10,14.6832,,33.0682,9.1504,976.0414,1365.0461,0.1405,9.1309,149.0,9.2,27.2322,31.164,0.2077,7.3959,6079.8628,0.0996,1.1749,4388.2734,132.8125,1.6505,13.3514,5997.813,0.2049,0.9692,3012.8599,119.2853
2022/7/18 3:12,14.6832,,33.0682,9.1504,1016.7067,927.2095,0.1408,9.082,149.0,9.2,27.2181,31.1657,0.2136,7.2252,6064.9443,0.1519,1.1196,4388.666,132.7401,1.6564,13.4201,5969.9395,0.1644,1.0791,3009.8174,119.2853
2022/7/18 3:14,14.6832,,33.0682,9.1504,1046.9567,954.9968,0.1408,9.1124,149.0,9.2,27.2094,31.1664,0.2136,7.4313,6076.7222,0.1122,0.9837,4385.3291,132.7401,1.6505,13.4888,5835.2832,0.2084,1.0093,3008.6394,118.9236
2022/7/18 3:16,14.6832,,33.0682,9.1504,1069.2557,1522.0065,0.1408,9.1113,149.0,9.2,27.2056,31.1674,0.2136,7.2958,6114.4102,0.104,0.8719,4386.8013,132.7401,1.6485,13.5575,5860.0161,0.1699,1.0674,3011.6821,118.6343
2022/7/18 3:18,14.6832,,33.0682,9.1504,1448.2567,1888.4974,0.1408,9.0853,149.0,9.2,27.2002,31.1696,0.2117,7.3959,6098.314,0.1032,1.0234,4387.6846,132.7401,1.6348,13.6596,5875.7197,0.1464,0.8263,3012.9578,118.2725
2022/7/18 3:20,14.6832,,33.0682,9.1504,1394.0728,-1697.9334,0.1408,9.018,149.0,9.2,27.1951,31.1704,0.2117,7.2566,6130.1128,0.0969,0.877,4389.0586,132.7401,1.623,13.7675,5895.3486,0.1377,1.0509,3017.4727,117.6215
2022/7/18 3:22,14.6832,,33.0682,9.1504,1360.5156,984.2859,0.1408,9.0929,149.0,9.2,27.1791,31.1722,0.2077,7.5647,6096.3511,0.1142,0.8852,4387.4883,132.7401,1.6132,13.8991,5921.2598,0.1299,0.9523,3010.5042,117.4045
2022/7/18 3:24,14.6832,,33.0682,9.1504,1318.3801,1580.9603,0.1408,9.1146,149.0,9.2,27.1539,31.1728,0.2058,9.5453,6090.855,0.0804,0.8738,4390.4326,132.7401,1.6367,14.0011,5928.3257,0.1617,0.8946,3014.5286,117.1151
2022/7/18 3:26,14.6832,,33.0682,9.1504,1281.4189,1078.5372,0.1408,9.1276,153.7364,9.2,27.1334,31.1741,0.2097,7.2546,6071.6182,0.1307,0.8777,4390.5312,132.7401,1.6014,14.0777,6057.8779,0.186,0.8463,3008.051,117.0428
2022/7/18 3:28,14.6832,,33.0682,9.1504,1321.4536,1036.4808,0.1408,9.1699,201.1,9.2,27.1163,31.1747,0.2156,7.4332,6123.4395,0.1334,0.8475,4390.335,132.7401,1.625,12.1913,5922.8296,0.1558,0.6771,3007.7566,117.0428
2022/7/18 3:30,14.6832,,33.0682,9.1504,910.3017,1732.6637,0.1408,9.0885,201.1,9.2,27.0995,31.1756,0.2058,7.1525,6154.4531,0.113,0.9107,4389.4512,132.7401,1.5877,11.3335,5790.5293,0.1413,0.6811,3013.9395,116.8981
2022/7/18 3:32,14.6832,,33.0682,9.1504,881.0507,1780.728,0.1399,9.082,201.1,9.2,27.0858,31.1772,0.2018,7.4214,6078.293,0.1338,0.8271,4389.2549,132.6678,1.6034,11.5023,5958.1621,0.142,0.6485,3009.3267,116.8981
2022/7/18 3:34,14.6832,,33.0682,9.1504,886.5226,998.9305,0.1399,9.1146,201.1,9.2,27.0893,31.178,0.1999,7.2487,6064.5513,0.1228,0.9182,4388.2734,132.6678,1.5857,11.6751,6018.6196,0.1303,0.4655,3017.1782,116.8981
2022/7/18 3:36,14.6832,,33.0682,9.1504,867.8361,908.8098,0.1399,9.3186,201.1,9.2,27.0979,31.179,0.2018,8.2753,6070.833,0.1118,0.8393,4384.8384,132.6678,1.5641,11.7771,5919.2964,0.144,0.6418,3009.9158,116.8981
2022/7/18 3:38,14.6832,,33.0682,9.1504,882.6519,1504.7333,0.1399,9.4737,201.1,9.2,27.1061,31.1799,0.2038,8.1732,6116.7656,0.1507,0.8974,4388.5684,132.6678,1.5857,11.8105,5909.874,0.1613,0.4121,3010.2102,116.8981
2022/7/18 3:40,14.6832,,33.0682,9.1504,865.3647,920.4504,0.1399,9.5443,201.1,9.2,27.1072,31.1803,0.2077,7.39,6084.5737,0.1087,0.8153,4388.0771,132.4508,1.5837,11.9833,5968.3691,0.144,0.6438,3009.0322,116.7535
2022/7/18 3:42,14.6832,,33.23,9.1504,869.7756,888.1571,0.1399,9.5443,201.1,9.2,27.1036,31.1813,0.2117,7.5687,6040.2119,0.1173,0.9468,4389.1572,132.5955,1.5759,12.0912,5987.998,0.1362,0.4302,3012.6638,116.8258
2022/7/18 3:44,14.6832,,33.4277,9.1504,883.5186,876.141,0.1399,9.5291,201.1,9.2,27.1003,31.1821,0.2077,7.1859,6053.5596,0.0977,0.7867,4386.9976,132.5955,1.5386,12.2914,5980.5396,0.135,0.5837,3013.1543,116.7535
2022/7/18 3:46,14.6832,,33.4277,11.298,896.0112,1502.1049,0.1399,9.5898,201.1,9.2,27.099,31.1833,0.2117,7.5314,6124.6177,0.0993,0.884,4385.918,132.5955,1.5896,12.3935,6000.561,0.142,0.464,3013.8413,116.6812
2022/7/18 3:48,14.6832,,33.4277,,936.6293,1014.3262,0.1399,9.63,201.1,9.2,27.0963,31.1838,0.2018,7.4528,6138.3574,0.1511,0.8416,4383.4644,132.5955,1.5916,12.4622,5921.6519,0.1311,0.7443,3011.6821,116.6812
2022/7/18 3:50,14.6832,,33.4277,,932.9344,745.0903,0.1399,9.6984,201.1,9.2,27.0925,31.1842,0.2077,7.3213,6081.4331,0.0985,0.8522,4385.6235,132.4508,1.572,12.633,5941.2808,0.1472,0.2999,3007.8545,116.5364
2022/7/18 3:52,14.6832,,33.4277,,930.4303,1261.7827,0.1374,9.6159,201.1,9.2,27.093,31.1849,0.2136,8.185,6084.1812,0.1212,0.8785,4382.2866,132.3062,1.5327,12.8077,6002.9165,0.1256,0.4302,3017.9634,116.3918
2022/7/18 3:54,14.6832,,33.4277,,1297.5054,1617.7596,0.1374,9.6322,201.1,9.2,27.0968,31.1862,0.2058,7.4921,6107.7363,0.1055,0.6897,4384.4458,132.0891,1.5504,12.9412,6060.626,0.1526,0.3658,3008.2471,116.1025
2022/7/18 3:56,14.6832,,33.4277,,1314.0433,-2040.3922,0.1374,9.566,201.1,9.2,27.0954,31.1873,0.1999,7.3194,6094.7808,0.1224,0.7278,4382.9736,131.9444,1.5818,13.0491,6000.1685,0.1597,0.305,3013.5469,116.0301
2022/7/18 3:58,14.6832,,33.4277,,1301.922,1386.4497,0.1374,9.6853,201.1,9.2,27.0665,31.1885,0.1999,9.1292,6090.855,0.1177,0.76,4386.2124,131.5828,1.572,13.0491,6042.9595,0.1554,0.2692,3013.0562,115.7407
2022/7/18 4:00,14.6832,,33.4277,,1319.6243,1883.2405,0.1374,9.6875,201.1,9.2,27.0286,31.1898,0.2097,7.4293,6111.6626,0.1479,0.8589,4387.1938,131.2934,1.5386,13.1826,5974.2578,0.1562,0.3745,3014.2339,115.5961
2022/7/18 4:02,14.6832,,33.4277,,1255.37,1473.9421,0.1374,9.6853,201.1,9.2,26.9951,31.1905,0.2136,7.8749,6063.3745,0.1205,0.7176,4387.292,130.9318,1.5386,13.2827,6003.7017,0.1593,0.3203,3015.2153,115.6684
2022/7/18 4:04,14.7237,,33.4277,,1211.249,1364.295,0.1374,9.6539,201.1,9.2,26.9645,31.1919,0.2136,7.1565,6088.8921,0.1016,0.6921,4388.5684,130.787,1.5543,13.3514,6006.4492,0.1903,0.5075,3013.5469,115.0897
2022/7/18 4:06,14.8855,,33.4277,,837.2689,1427.3796,0.1374,9.6766,201.1,9.2,26.9419,31.194,0.2018,7.4882,6084.5737,0.1012,0.6025,4388.9609,130.787,1.5523,13.4947,5984.8579,0.1511,0.369,3010.2102,114.8727
2022/7/18 4:08,14.8855,,33.4277,,834.6331,2095.3997,0.1374,9.7201,201.1,9.2,26.9248,31.1953,0.2038,7.4901,6060.2329,0.1793,0.6234,4389.0586,130.6423,1.5307,13.5595,6050.0264,0.1432,0.4581,3010.0137,114.6557
2022/7/18 4:10,14.8855,,33.4277,,836.5244,-1908.2151,0.1374,9.8166,201.1,9.2,26.9261,31.1961,0.2058,7.3233,6059.0562,0.0843,0.5974,4388.666,130.2083,1.5406,13.6949,5951.0957,0.1432,0.2606,3011.3877,114.5833
2022/7/18 4:12,14.8855,,33.4277,,831.3219,1452.5385,0.1382,9.8817,201.1,9.2,26.928,31.1978,0.2156,7.4646,6088.8921,0.1263,0.6677,4392.0029,130.0637,1.5504,13.6282,5928.7183,0.1574,0.2622,3011.0933,114.511
2022/7/18 4:14,14.8855,,33.4277,,812.8444,1985.0018,0.1382,9.8698,201.1,9.2,26.928,31.1987,0.2038,7.4901,6120.2993,0.0985,0.9669,4389.5498,129.8466,1.5288,13.6988,6081.0405,0.157,0.3878,3010.897,114.3663
2022/7/18 4:16,14.8855,,33.4277,,825.5692,2194.908,0.1382,9.8481,201.1,9.2,26.9383,31.1998,0.2058,7.3567,6091.6401,0.166,0.579,4388.4697,130.2083,1.5386,12.1874,5922.4365,0.1401,0.2429,3012.4673,114.294
2022/7/18 4:18,14.8855,,33.4277,,815.0706,-1929.9943,0.1382,9.8275,201.1,9.2,26.9479,31.2008,0.2136,7.1918,6073.188,0.1208,0.5731,4387.6846,129.919,1.5209,12.26,5940.103,0.1475,0.3733,3014.0376,114.3663
2022/7/18 4:20,14.8855,,33.4277,,843.7866,1309.4717,0.1382,9.885,201.1,9.2,26.9522,31.203,0.2136,8.1458,6118.7285,0.1699,0.5759,4389.8438,129.7744,1.517,12.3307,6047.2778,0.1318,0.3281,3012.3694,114.2216
2022/7/18 4:22,14.8855,,33.4277,,822.353,1534.3981,0.1382,9.9132,201.1,9.2,26.9543,31.2038,0.2018,8.0358,6095.9585,0.1059,0.7977,4391.1201,129.5573,1.5111,12.26,5962.4805,0.1636,0.3427,3018.0615,114.1494
2022/7/18 4:24,14.8855,,33.4277,,849.9451,980.9065,0.1382,9.9121,201.1,9.2,26.9494,31.2054,0.2058,7.6315,6105.3809,0.1201,0.7207,4388.9609,129.5573,1.517,12.3915,6017.4419,0.1417,0.3297,3016.0005,113.8599
2022/7/18 4:26,14.8855,,33.4277,,821.3289,1423.2491,0.1382,9.8503,195.25,9.2,26.9464,31.2063,0.2038,7.1525,6072.0112,0.1687,0.8938,4390.2363,129.4849,1.5033,12.3248,5951.0957,0.1538,0.4035,3007.8545,113.8599
2022/7/18 4:28,14.8855,,33.4277,,819.2328,341.8,0.1382,9.9403,177.7,9.2,26.9432,31.2086,0.2077,7.4293,6091.2476,0.0938,0.7655,4387.7827,129.3403,1.5072,12.4308,6062.1963,0.1314,0.3376,3013.7432,113.9323
2022/7/18 4:30,14.8855,,30.4462,,830.7339,630.9374,0.1382,9.9208,177.7,9.2,26.9391,31.2097,0.2018,7.8317,6078.6851,0.1161,0.8279,4391.2178,129.3403,1.5523,12.4956,5985.6426,0.1621,0.4078,3010.897,113.6429
2022/7/18 4:32,14.8855,,30.4462,,853.8572,443.9369,0.1433,10.0109,177.7,9.2,26.9362,31.2111,0.2136,7.7041,6119.5137,0.1303,0.7906,4390.2363,129.1956,1.5072,12.7743,5882.3936,0.1338,0.3376,3013.1543,113.6429
2022/7/18 4:34,14.8855,,30.4462,,837.0826,433.7982,0.1433,10.038,177.7,9.0364,26.9279,31.2122,0.1999,7.659,6126.1875,0.1774,0.7203,4388.9609,129.3403,1.5445,12.1874,5945.207,0.1884,0.3858,3011.0933,113.4983
2022/7/18 4:36,14.8855,,30.4462,,841.8038,1847.9431,0.1433,10.0564,177.7,8.3,26.9198,31.2134,0.1999,7.5255,6045.708,0.0765,0.9268,4389.3535,129.3403,1.5641,12.3601,5940.103,0.122,0.4534,3012.8599,113.4983
2022/7/18 4:38,14.8855,,30.4462,,816.6326,-2124.1294,0.1433,10.013,177.7,8.3,26.914,31.2157,0.1999,7.5216,5998.2056,0.0832,0.8911,4388.666,129.3403,1.5602,12.3582,6050.0264,0.1684,0.4467,3016.6877,113.4983
2022/7/18 4:40,14.8855,,30.4462,,819.046,862.6229,0.1433,10.0977,177.7,8.3,26.9088,31.2167,0.2117,7.6688,6132.8613,0.0918,0.727,4390.335,129.3403,1.5759,11.7143,5970.332,0.126,0.3615,3011.7803,113.4983
2022/7/18 4:42,14.8855,,30.4462,,840.4624,1519.3779,0.1433,10.1421,177.7,8.3,26.9072,31.2183,0.2136,7.6374,6037.4644,0.1177,0.9472,4390.9238,129.3403,1.5936,11.7143,5942.459,0.142,0.4004,3014.332,113.4259
2022/7/18 4:44,14.8855,,30.4462,,827.3606,1431.8856,0.1433,10.1562,177.7,8.3,26.9025,31.2194,0.2058,7.5961,6046.1011,0.0875,0.9598,4389.8438,129.3403,1.5955,11.9204,5959.3398,0.1919,0.3293,3012.4673,113.4983
2022/7/18 4:46,14.8855,,30.4462,,858.7357,861.1209,0.1433,10.191,177.7,8.3,26.8963,31.2212,0.2018,8.2733,6121.8691,0.124,0.9841,4387.6846,129.3403,1.5837,12.0539,6045.3154,0.1656,0.4145,3010.5042,113.4259
2022/7/18 4:48,14.8855,,30.4462,,845.9135,802.5424,0.1433,10.2322,177.7,8.3,26.8855,31.2225,0.1999,8.5128,6000.561,0.1303,1.0183,4387.979,129.3403,1.5837,12.2934,6035.1084,0.146,0.3858,3013.645,113.4259
2022/7/18 4:50,14.8855,,30.4462,,1367.8795,1329.3733,0.1433,10.2626,177.7,8.3,26.8742,31.2247,0.2038,7.659,6059.0562,0.2649,1.0136,4390.5312,129.3403,1.5759,12.3955,6024.9014,0.1605,0.4824,3013.8413,113.2812
2022/7/18 4:52,14.8855,,30.4462,,1283.5383,892.6631,0.145,10.2007,177.7,8.3,26.865,31.2266,0.2018,8.1045,6035.1084,0.1275,0.8518,4389.3535,129.3403,1.7467,11.3021,6048.4561,0.1574,0.5739,3007.9526,113.4259
2022/7/18 4:54,14.8855,,30.4462,,1298.6677,1455.918,0.145,10.2333,177.7,8.3,26.8421,31.2278,0.2156,7.9122,5893.3862,0.1625,1.2122,4392.3955,129.1956,1.8212,11.0921,5992.3164,0.1538,0.506,3015.8042,113.2812
